"region","sector","educ","edad","ingreso","genero","experiencia","mujer_nuble_biobio","nivel_educ"
"Ñuble","Agricultura",12,33,520000,"F",15,"sí","Media completa"
"Metropolitana","Agricultura",14,20,467000,"F",0,"no","Superior"
"Metropolitana","Industria",13,53,NA,"M",34,"no","Superior"
"Metropolitana","Construcción",7,46,363000,"M",33,"no","Sin media completa"
"Ñuble","Servicios",11,39,739000,"F",22,"sí","Sin media completa"
"Maule","Agricultura",16,42,672000,"M",20,"no","Superior"
"Metropolitana","Comercio",10,64,496000,"M",48,"no","Sin media completa"
"Araucanía","Agricultura",7,58,180000,"F",45,"no","Sin media completa"
"Metropolitana","Servicios",9,20,534000,"M",5,"no","Sin media completa"
"Ñuble","Servicios",11,42,NA,"M",25,"no","Sin media completa"
"Maule","Servicios",12,40,781000,"F",22,"no","Media completa"
"Ñuble","Industria",11,52,609000,"M",35,"no","Sin media completa"
"Araucanía","Comercio",9,61,583000,"M",46,"no","Sin media completa"
"Ñuble","Servicios",11,69,807000,"M",52,"no","Sin media completa"
"Biobío","Industria",10,31,505000,"F",15,"sí","Sin media completa"
"Araucanía","Servicios",12,26,824000,"F",8,"no","Media completa"
"Maule","Educación",14,55,859000,"F",35,"no","Superior"
"Biobío","Industria",12,23,480000,"F",5,"sí","Media completa"
"Biobío","Educación",14,68,786000,"M",48,"no","Superior"
"Araucanía","Construcción",11,51,659000,"F",34,"no","Sin media completa"
"Ñuble","Educación",19,61,987000,"M",36,"no","Superior"
"Maule","Agricultura",12,45,392000,"F",27,"no","Media completa"
"Maule","Industria",17,50,795000,"M",27,"no","Superior"
"Maule","Educación",14,27,934000,"M",7,"no","Superior"
"Metropolitana","Agricultura",18,49,619000,"F",25,"no","Superior"
"Maule","Servicios",17,33,819000,"M",10,"no","Superior"
"Ñuble","Educación",20,70,1093000,"F",44,"sí","Superior"
"Biobío","Servicios",13,53,840000,"F",34,"sí","Superior"
"Metropolitana","Construcción",12,52,502000,"M",34,"no","Media completa"
"Maule","Construcción",14,46,605000,"F",26,"no","Superior"
"Biobío","Servicios",15,39,909000,"M",18,"no","Superior"
"Metropolitana","Servicios",11,22,712000,"M",5,"no","Sin media completa"
"Ñuble","Agricultura",9,22,276000,"F",7,"sí","Sin media completa"
"Araucanía","Servicios",15,64,848000,"M",43,"no","Superior"
"Araucanía","Servicios",10,69,NA,"F",53,"no","Sin media completa"
"Araucanía","Comercio",7,44,368000,"F",31,"no","Sin media completa"
"Ñuble","Agricultura",8,64,386000,"F",50,"sí","Sin media completa"
"Biobío","Servicios",9,52,696000,"M",37,"no","Sin media completa"
"Maule","Construcción",6,22,475000,"M",10,"no","Sin media completa"
"Metropolitana","Agricultura",17,59,609000,"M",36,"no","Superior"
"Ñuble","Servicios",9,44,672000,"M",29,"no","Sin media completa"
"Araucanía","Agricultura",14,42,497000,"M",22,"no","Superior"
"Araucanía","Comercio",20,62,723000,"F",36,"no","Superior"
"Metropolitana","Educación",16,27,948000,"F",5,"no","Superior"
"Ñuble","Industria",11,65,689000,"M",48,"no","Sin media completa"
"Araucanía","Industria",13,21,729000,"M",2,"no","Superior"
"Biobío","Agricultura",13,61,388000,"M",42,"no","Superior"
"Metropolitana","Servicios",15,57,959000,"M",36,"no","Superior"
"Metropolitana","Industria",13,34,805000,"F",15,"no","Superior"
"Biobío","Comercio",10,26,384000,"F",10,"sí","Sin media completa"
"Maule","Agricultura",9,47,226000,"M",32,"no","Sin media completa"
"Ñuble","Agricultura",11,50,590000,"M",33,"no","Sin media completa"
"Ñuble","Servicios",15,36,954000,"F",15,"sí","Superior"
"Maule","Industria",13,60,NA,"M",41,"no","Superior"
"Ñuble","Servicios",15,25,735000,"F",4,"sí","Superior"
"Biobío","Comercio",12,56,589000,"F",38,"sí","Media completa"
"Maule","Industria",16,34,694000,"F",12,"no","Superior"
"Ñuble","Educación",18,35,NA,"F",11,"sí","Superior"
"Biobío","Educación",15,28,755000,"F",7,"sí","Superior"
"Araucanía","Industria",17,25,975000,"M",2,"no","Superior"
